LABELS
#tree_taxonomy=family
SEPARATOR TAB
DATA
tax_24579	Menyanthaceae
tax_301453	Capparaceae
tax_301454	Cleomaceae
tax_21561	Limnanthaceae
tax_3647	Caricaceae
tax_3700	Brassicaceae
tax_3733	Moringaceae
tax_4018	Tropaeolaceae
tax_27223	Vochysiaceae
tax_39998	Melastomataceae
tax_3928	Lythraceae
tax_3931	Myrtaceae
tax_3934	Onagraceae
tax_3954	Combretaceae
tax_43707	Meliaceae
tax_23513	Rutaceae
tax_23672	Sapindaceae
tax_23808	Simaroubaceae
tax_91851	Nitrariaceae
tax_4011	Anacardiaceae
tax_4014	Burseraceae
tax_39987	Thymelaeaceae
tax_66670	Bixaceae
tax_3629	Malvaceae
tax_40588	Dipterocarpaceae
tax_69450	Cistaceae
tax_85159	Picramniaceae
tax_85174	Francoaceae
tax_4027	Geraniaceae
tax_85275	Stachyuraceae
tax_85278	Staphyleaceae
tax_3602	Vitaceae
tax_51377	Cynomoriaceae
tax_4386	Daphniphyllaceae
tax_16711	Cercidiphyllaceae
tax_24943	Paeoniaceae
tax_23066	Grossulariaceae
tax_42216	Hamamelidaceae
tax_91829	Altingiaceae
tax_91830	Iteaceae
tax_3781	Crassulaceae
tax_3792	Saxifragaceae
tax_26818	Opiliaceae
tax_441548	Erythropalaceae
tax_1003241	Strombosiaceae
tax_1003242	Ximeniaceae
tax_1003255	Viscaceae
tax_3958	Santalaceae
tax_3963	Loranthaceae
tax_3973	Olacaceae
tax_4360	Droseraceae
tax_4374	Nepenthaceae
tax_1804623	Chenopodiaceae
tax_4437	Plumbaginaceae
tax_703405	Talinaceae
tax_703406	Anacampserotaceae
tax_703407	Montiaceae
tax_3581	Portulacaceae
tax_3584	Didiereaceae
tax_3587	Basellaceae
tax_3593	Cactaceae
tax_25636	Achatocarpaceae
tax_441552	Petiveriaceae
tax_3525	Phytolaccaceae
tax_3536	Nyctaginaceae
tax_3542	Aizoaceae
tax_3563	Amaranthaceae
tax_3568	Caryophyllaceae
tax_3590	Molluginaceae
tax_3615	Polygonaceae
tax_63083	Tamaricaceae
tax_91876	Sarcobataceae
tax_3997	Simmondsiaceae
tax_24942	Dilleniaceae
tax_24955	Gunneraceae
tax_51383	Asphodelaceae
tax_51509	Ixioliriaceae
tax_51510	Asteliaceae
tax_4668	Amaryllidaceae
tax_4674	Hypoxidaceae
tax_4747	Orchidaceae
tax_40552	Asparagaceae
tax_91817	Xeronemataceae
tax_26339	Iridaceae
tax_44985	Hyacinthaceae
tax_41218	Colchicaceae
tax_4677	Liliaceae
tax_4703	Smilacaceae
tax_50362	Melanthiaceae
tax_56740	Alstroemeriaceae
tax_4479	Poaceae
tax_4609	Cyperaceae
tax_4613	Bromeliaceae
tax_4731	Typhaceae
tax_26019	Eriocaulaceae
tax_75423	Mayacaceae
tax_14101	Juncaceae
tax_14107	Restionaceae
tax_14146	Flagellariaceae
tax_4619	Marantaceae
tax_4626	Cannaceae
tax_4630	Costaceae
tax_4637	Musaceae
tax_4642	Zingiberaceae
tax_4652	Heliconiaceae
tax_4656	Lowiaceae
tax_4660	Strelitziaceae
tax_4710	Arecaceae
tax_4740	Commelinaceae
tax_54924	Haemodoraceae
tax_16367	Pontederiaceae
tax_49662	Stemonaceae
