	filename	total_features	plantmasst_features	percentage	Sample_type	MS_type	PERIOD	TREAT	wet_weight	SampleID	diet
134	Sep2023_conjBA_BeefDiet_155_L1-115.mzML	140618727.05806595	47634721.58077997	33.875090876843224	L1-115	MS1_pos	DP2	MED2.5	25.7	228.0	Mediterranean
133	Sep2023_conjBA_BeefDiet_142_L1-7.mzML	130133789.44069713	29643907.996650018	22.779562574836838	L1-7	MS1_pos	DP1	MED2.5	28.0	202.0	Mediterranean
132	Sep2023_conjBA_BeefDiet_138_L1-61.mzML	146147014.53173566	28056533.66706	19.197473008227313	L1-61	MS1_pos	DP2	MED0.5	26.2	215.0	Mediterranean
131	Sep2023_conjBA_BeefDiet_128_L1-126.mzML	207205990.22241837	46756137.22166997	22.565050929020515	L1-126	MS1_pos	DP3	MED5.5	25.9	230.0	Mediterranean
126	Sep2023_conjBA_BeefDiet_141_L1-119.mzML	148756980.13776115	27361342.70768	18.39331685971385	L1-119	MS1_pos	DP1	MED0.5	26.5	229.0	Mediterranean
87	Sep2023_conjBA_BeefDiet_091_L1-66.mzML	242104992.4472357	36794561.645305976	15.197770716489861	L1-66	MS1_pos	DP2	MED2.5	27.7	216.0	Mediterranean
121	Sep2023_conjBA_BeefDiet_136_L1-35.mzML	203698154.23142725	48148595.275690004	23.637227081099134	L1-35	MS1_pos	DP2	MED0.5	25.3	209.0	Mediterranean
119	Sep2023_conjBA_BeefDiet_121_L1-122.mzML	120552695.18621323	34046825.339590006	28.24227636470437	L1-122	MS1_pos	DP4	MED2.5	25.4	229.0	Mediterranean
118	Sep2023_conjBA_BeefDiet_127_L1-27.mzML	103373823.35254616	32826248.561710004	31.754894514986976	L1-27	MS1_pos	DP4	MED2.5	24.6	207.0	Mediterranean
135	Sep2023_conjBA_BeefDiet_154_L1-24.mzML	105721933.79754099	36278371.929630004	34.31489628169648	L1-24	MS1_pos	DP1	MED5.5	24.7	207.0	Mediterranean
86	Sep2023_conjBA_BeefDiet_102_L1-141.mzML	113741385.30402598	37181064.66925001	32.68912592357353	L1-141	MS1_pos	DP1	MED0.5	26.9	235.0	Mediterranean
75	Sep2023_conjBA_BeefDiet_089_L1-40.mzML	119776545.89706601	23302452.478040006	19.454937778941922	L1-40	MS1_pos	DP2	MED0.5	26.0	210.0	Mediterranean
84	Sep2023_conjBA_BeefDiet_094_L1-22.mzML	264585825.20511505	47870340.88964998	18.092556867904552	L1-22	MS1_pos	DP4	MED0.5	25.3	206.0	Mediterranean
34	Sep2023_conjBA_BeefDiet_031_L1-78.mzML	198392448.0088187	39194979.48451999	19.75628602696497	L1-78	MS1_pos	DP4	MED0.5	25.0	218.0	Mediterranean
33	Sep2023_conjBA_BeefDiet_030_L1-75.mzML	258706076.15253416	48106352.260934986	18.594983533580127	L1-75	MS1_pos	DP1	MED2.5	25.5	218.0	Mediterranean
32	Sep2023_conjBA_BeefDiet_029_L1-96.mzML	333096780.7201799	54159151.46515998	16.25928396787981	L1-96	MS1_pos	DP1	MED0.5	26.4	224.0	Mediterranean
28	Sep2023_conjBA_BeefDiet_040_L1-90.mzML	152280782.29576805	35826738.80704899	23.526763040568273	L1-90	MS1_pos	DP4	MED5.5	26.5	222.0	Mediterranean
27	Sep2023_conjBA_BeefDiet_044_L1-32.mzML	168895260.34411988	30638867.079260007	18.14075008193485	L1-32	MS1_pos	DP4	MED0.5	25.4	208.0	Mediterranean
26	Sep2023_conjBA_BeefDiet_028_L1-117.mzML	201542081.61346602	58934374.97667996	29.24172188005339	L1-117	MS1_pos	DP4	MED5.5	27.3	228.0	Mediterranean
24	Sep2023_conjBA_BeefDiet_036_L1-130.mzML	152739281.27298415	39677525.13166007	25.97728940517023	L1-130	MS1_pos	DP1	MED0.5	24.7	232.0	Mediterranean
18	Sep2023_conjBA_BeefDiet_025_L1-105.mzML	171744933.40607002	33278451.694320023	19.376671575887	L1-105	MS1_pos	DP1	MED2.5	26.1	226.0	Mediterranean
