Species,Plant_Family,Acetylcholine,Cannabidiol,Dopamine,Glutamic_acid,Norepinephrine,Serotonin,THC,Tryptamine
Casuarina equisetifolia,Casuarinaceae,0,0,0,0,0,1,0,0
Ceanothus americanus,Rhamnaceae,0,0,1,0,0,0,0,0
Cedrela fissilis,Meliaceae,0,0,0,1,0,0,0,0
Cedrelopsis grevei,Rutaceae,0,0,0,0,0,1,0,0
Ceiba boliviana,Malvaceae,0,0,0,1,0,0,0,0
Ceiba samauma,Malvaceae,0,0,0,1,0,0,0,0
Celosia argentea,Amaranthaceae,0,0,0,0,1,0,0,1
Centrosema,Fabaceae,0,0,0,0,0,1,0,0
Cephalanthus occidentalis,Rubiaceae,0,0,0,1,0,0,0,0
Cephalotaxus harringtonia,Taxaceae,0,0,1,0,0,0,0,0
Chamaedorea metallica,Arecaceae,0,0,0,0,0,1,0,0
Chelidonium majus subsp. asiaticum,Papaveraceae,0,0,0,1,0,0,0,0
Chrysanthemum indicum,Asteraceae,0,0,0,0,0,1,0,0
Chrysopogon zizanioides,Poaceae,0,0,0,1,0,1,0,0
Cichorium intybus,Asteraceae,0,0,0,0,0,1,0,0
Cinnamomum burmanni,Lauraceae,0,0,1,0,0,0,0,0
Cinnamomum camphora,Lauraceae,0,0,1,0,0,0,0,0
Cinnamomum verum,Lauraceae,0,0,1,1,0,1,0,0
Cistanthe grandiflora,Montiaceae,0,0,0,0,1,0,0,0
Citrus sinensis,Rutaceae,0,0,0,1,0,1,0,0
Citrus unshiu,Rutaceae,0,0,0,0,0,1,0,0
Cladocarpesium abrotanoides,Asteraceae,0,0,0,0,0,1,0,0
Clarkia amoena,Onagraceae,0,0,0,0,0,0,0,1
Clusia ducu,Clusiaceae,0,0,1,0,0,0,0,0
Cochliostema odoratissimum,Commelinaceae,0,0,1,0,0,0,0,0
Codariocalyx gyroides,Fabaceae,0,0,0,1,0,0,0,0
Condaminea corymbosa,Rubiaceae,0,0,1,0,0,1,0,0
Conioselinum tenuissimum,Apiaceae,0,0,0,1,0,0,0,0
Copaifera langsdorffii,Fabaceae,0,0,0,0,0,1,0,0
Corchorus capsularis,Malvaceae,0,0,0,0,0,1,0,0
Cordyline fruticosa,Asparagaceae,0,0,1,0,1,0,0,0
Corydalis ternata,Papaveraceae,0,0,0,1,0,0,0,0
Costus afer,Costaceae,0,0,0,0,0,1,0,0
Crataegus monogyna,Rosaceae,0,0,0,1,0,0,0,0
Critoniopsis,Asteraceae,0,0,0,0,0,1,0,0
Crotalaria pallida,Fabaceae,0,0,0,0,0,1,0,0
