Species,Plant_Family,Acetylcholine,Cannabidiol,Dopamine,Glutamic_acid,Norepinephrine,Serotonin,THC,Tryptamine
Sambucus nigra,Adoxaceae,0,0,1,1,0,0,0,0
Sansevieria metallica,Asparagaceae,0,0,0,1,0,0,0,0
Sarcobatus vermiculatus,Sarcobataceae,0,0,1,0,0,0,0,0
Sassafras albidum,Lauraceae,0,0,1,1,0,0,0,0
Saxifraga stolonifera,Saxifragaceae,0,0,0,0,0,1,0,0
Schizocalyx,Rubiaceae,0,0,0,0,0,1,0,0
Schizonepeta multifida,Lamiaceae,0,0,0,0,1,0,0,0
Schwannia mediterranea,Malpighiaceae,0,0,0,0,0,0,0,1
Sebastiania brasiliensis,Euphorbiaceae,0,0,0,0,0,1,0,0
Selaginella kraussiana,Selaginellaceae,0,0,1,0,0,0,0,0
Selenicereus undatus,Cactaceae,0,0,0,1,0,1,0,0
Senna alexandrina,Fabaceae,1,0,0,0,0,0,0,0
Senna meridionalis,Fabaceae,0,0,0,0,0,1,0,0
Sesbania bispinosa,Fabaceae,0,0,0,0,0,1,0,1
Setaria italica,Poaceae,0,0,0,0,0,1,0,0
Siderasis fuscata,Commelinaceae,0,0,0,0,1,1,0,0
Silene dioica,Caryophyllaceae,0,0,1,0,0,0,0,0
Sinacalia tangutica,Asteraceae,0,0,0,0,0,1,0,0
Siparuna thecaphora,Siparunaceae,0,0,1,0,0,0,0,0
Solanum betaceum,Solanaceae,0,0,0,1,0,0,0,0
Solanum bulbocastanum,Solanaceae,0,0,0,0,0,1,0,0
Solanum chilense,Solanaceae,0,0,0,0,0,1,0,0
Solanum commersonii,Solanaceae,0,0,0,0,0,1,0,0
Solanum lycopersicum,Solanaceae,0,0,0,1,0,1,0,1
Solanum melongena,Solanaceae,0,0,0,0,0,1,0,0
Solanum nigrum,Solanaceae,0,0,0,0,0,1,0,1
Solanum pennellii,Solanaceae,0,0,0,0,0,1,0,0
Solanum pinnatisectum,Solanaceae,0,0,0,0,0,1,0,0
Solanum pseudoquina,Solanaceae,0,0,0,0,0,1,0,0
Solanum tuberosum,Solanaceae,0,0,0,0,0,1,0,1
Sorghum bicolor,Poaceae,0,0,0,0,0,1,0,0
Spiraea aquilegiifolia,Rosaceae,0,0,0,0,1,0,0,0
Spirodela polyrhiza,Araceae,0,0,0,1,0,0,0,0
Squamellaria kajewskii,Rubiaceae,0,0,0,0,0,1,0,0
Stachytarpheta cayennensis,Verbenaceae,0,0,0,0,0,1,0,0
Stevia rebaudiana,Asteraceae,0,0,0,1,0,0,0,0
Stigmaphyllon harleyi,Malpighiaceae,0,0,0,0,0,1,0,1
Stigmaphyllon puberulum,Malpighiaceae,0,0,0,0,0,1,0,1
Stigmaphyllon salzmannii,Malpighiaceae,0,0,1,0,0,0,0,0
Stigmaphyllon vitifolium,Malpighiaceae,0,0,0,0,0,0,0,1
Strelitzia reginae,Strelitziaceae,0,0,1,0,0,0,0,0
Strophanthus gratus,Apocynaceae,0,0,0,1,0,0,0,0
Styphnolobium japonicum,Fabaceae,0,0,1,0,0,0,0,0
Styrax benzoin,Styracaceae,0,0,0,1,0,0,0,0
Synsepalum dulcificum,Sapotaceae,0,0,1,0,0,0,0,0
Syringodium filiforme,Cymodoceaceae,0,0,0,0,0,1,0,0
Syzygium buxifolium,Myrtaceae,0,0,0,0,0,1,0,0
Talinum paniculatum,Talinaceae,0,0,1,0,1,1,0,0
Talipariti tiliaceum,Malvaceae,0,0,0,1,0,0,0,0
Thalictrum minus,Ranunculaceae,0,0,1,0,0,0,0,0
Theobroma cacao,Malvaceae,0,0,1,0,0,1,0,1
Tiarella polyphylla,Saxifragaceae,0,0,0,0,0,1,0,0
Tiliacora triandra,Menispermaceae,0,0,0,0,0,1,0,0
Tithonia rotundifolia,Asteraceae,0,0,0,0,0,0,0,1
Trachycarpus fortunei,Arecaceae,0,0,0,0,0,1,0,0
Tradescantia pallida,Commelinaceae,0,0,1,0,0,0,0,0
Tradescantia spathacea,Commelinaceae,0,0,1,0,1,0,0,0
Tradescantia zebrina,Commelinaceae,0,0,1,0,1,0,0,0
Trichomanes maximum,Hymenophyllaceae,0,0,1,0,1,0,0,0
Trichostigma peruvianum,Phytolaccaceae,0,0,0,1,0,0,0,0
Trifolium medium,Fabaceae,0,0,0,0,0,1,0,0
Trifolium pratense,Fabaceae,0,0,0,1,0,0,0,0
Trifolium repens,Fabaceae,0,0,0,0,0,1,0,0
Triticum aestivum,Poaceae,0,0,0,1,0,0,0,0
Triticum dicoccoides,Poaceae,0,0,0,0,0,1,0,0
Trochodendron aralioides,Trochodendraceae,0,0,0,0,0,1,0,0
Tropaeolum peregrinum,Tropaeolaceae,0,0,0,0,1,0,0,0
Turnera subulata,Passifloraceae,0,0,0,0,0,1,0,0
Typha orientalis,Typhaceae,0,0,0,1,0,0,0,0
Uncarina grandidieri,Pedaliaceae,0,0,0,0,0,1,0,0
Urera baccifera,Urticaceae,0,0,0,0,0,1,0,0
Urtica dioica,Urticaceae,0,0,1,0,0,0,0,0
Vaccinium parvifolium,Ericaceae,0,0,0,1,0,0,0,0
Veronica incana,Plantaginaceae,0,0,0,0,1,0,0,0
Viburnum rufidulum,Adoxaceae,0,0,0,1,0,0,0,0
Viburnum tinus,Adoxaceae,0,0,0,1,0,0,0,0
Vicia faba,Fabaceae,0,0,0,0,1,0,0,0
Vigna radiata var. radiata,Fabaceae,0,0,0,0,0,1,0,0
Vigna umbellata,Fabaceae,0,0,0,0,0,1,0,0
Vigna unguiculata,Fabaceae,0,0,0,0,0,1,0,0
Virola sebifera,Myristicaceae,0,0,1,0,0,1,0,0
Vitis riparia,Vitaceae,0,0,0,0,0,1,0,0
Wisteria frutescens,Fabaceae,0,0,0,1,0,1,0,0
Xanthoceras sorbifolium,Sapindaceae,0,0,0,0,0,1,0,0
Xeronema callistemon,Xeronemataceae,0,0,1,0,0,1,0,0
Xylosma,Salicaceae,0,0,1,0,0,0,0,0
Zamia pumila,Zamiaceae,0,0,1,0,0,0,0,0
Zea mays,Poaceae,0,0,0,1,0,1,0,0
Zingiber officinale,Zingiberaceae,0,0,0,1,0,1,0,0
Zinnia elegans,Asteraceae,0,0,0,0,0,0,0,1
Ziziphus rugosa,Rhamnaceae,0,0,0,1,0,1,0,0
