TaxID	no rank	superkingdom	kingdom	phylum	class	order	family	genus	subgenus	species	varietas	subspecies	forma
1804188			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon auriculatum			
1804197			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon hatschbachii			
151876			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon					
1804192			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon caatingicola			
1804193			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon cavernulosum			
1027211			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon ciliatum			
1804194			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon convolvulifolium			
1804195			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon gayanum			
1804196			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon harleyi			
1804202			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon salzmannii			
1804203			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon saxicola			
1804199			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon lalandianum			
1804200			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon macropodum			
2662167			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon palmatum			
151877			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon paralias			
1804201			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon puberulum			
1804204			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon sinuatum			
1804205			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon tomentosum			
1804206			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon urenifolium			
1804207			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Stigmaphyllon		Stigmaphyllon vitifolium			
1027214			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Tetrapterys		Tetrapterys ambigua			
1561826			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Tetrapterys		Tetrapterys cardiophylla			
151881			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Tetrapterys		Tetrapterys microphylla			
1561831			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Tetrapterys		Tetrapterys mucronata			
1027218			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Tetrapterys		Tetrapterys phlomoides			
151880			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Tetrapterys					
1027220			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Tetrapterys		Tetrapterys schiedeana			
151883			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Thryallis		Thryallis latifolia			
151891			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Verrucularina		Verrucularina glaucophylla			
151890			Viridiplantae	Streptophyta	Magnoliopsida	Malpighiales	Malpighiaceae	Verrucularina					
39376			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Verbenaceae	Stachytarpheta		Stachytarpheta cayennensis			
13345			Viridiplantae	Streptophyta	Magnoliopsida	Ericales	Primulaceae	Ardisia		Ardisia crenata			
85181			Viridiplantae	Streptophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus		Celastrus orbiculatus			
170351			Viridiplantae	Streptophyta	Magnoliopsida	Gentianales	Rubiaceae	Mitragyna		Mitragyna speciosa			
320345			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Verbenaceae	Lippia		Lippia alba			
397648			Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Stryphnodendron		Stryphnodendron adstringens			
66096			Viridiplantae	Streptophyta	Magnoliopsida	Fabales	Fabaceae	Gleditsia		Gleditsia sinensis			
2708984			Viridiplantae	Streptophyta	Magnoliopsida	Lamiales	Bignoniaceae	Stereospermum		Stereospermum acuminatissimum			
1744888			Viridiplantae	Streptophyta	Magnoliopsida	Caryophyllales	Nepenthaceae	Nepenthes		Nepenthes ventricosa x Nepenthes alata			
